Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
1273,9,UWAC Group Photo ,"ім. О. Кобилянської Мічам Саск. in 1951
In the name of Olya Kobylianska in Michem, Saskatchewan.",Twenty Five Years of UWAC 1926-1951,421
1278,9,UWAC Group Photo,"UWAC- In the name of Princess Yaroslavna. Brooksby, SK. 1951",Twenty Five Years of UWAC 1926-1951,449
1285,9,"UWAC Group Photo - Issinger, SK 1951","ім. О. Кобилянська,  Ісеньґер Саск 1951
In the name of Olia Kobylianska. Isinger, Saskatchewan.",Twenty Five Years of UWAC 1926-1951,490
1358,9,Michael & Anna Sunak,Donated $1000.00 to the Shevchenko Foundation (Founders) in 1963.,Unknown Publication,
1363,9,Paul & Anna Martyniak,"Paul & Anna Martyniak from Manville, Alberta donated $1000.00 to the Shevchenko Foundation (Founders) in 1963.",Unknown Publication,
1377,9,"Галина Галницька  
Halyna Halnytsky",,Unknown Publication,
1385,9,Portrait of a Man,,Unknown Publication,
1396,9,Vasyl Eleniak,One of the first two Ukrainians to arrive in Canada in 1891. ,"History book of the Ukrainian National Home in WInnipeg 1946-71, edited by D. Doroshenko.",49
1434,9,Graduation Photos,"Graduating class of 1927-1928 from the Peter Mohyla Ukrainian Institute in Saskatoon, Saskatchewan.",Unknown Publication,
1461,9,Group Photo,"St. Andrew's College summer Ukrainian school in Winnipeg, Manitoba, 1968.",Unknown Publication,
1479,9,Queen Elizabeth ,Greeting military officers.,Unknown Publication,
1601,9,Group Photo ,"CYMK at St. John's Edmonton
Front row Olga Semchuk, Mrs. Melnychuk, Marian Hnatiuk, Anne Proniuk. In the second row from the front, the centre is Diane Proniuk.",Unknown Publication,
1772,9,Portrait of a Young Woman,,Unknown Publication,
1799,9,Unveiling of Plaque,"Honouring the Ukrainian Canadian Congress, Ottawa, Ontario 1967.   Note: Right Honourable Paul Martin Sr. MP.",Unknown Publication,
1865,9,Architectural Drawing for Orthodox Church,"Позстенко Архітекти: Олекса Повстенко i Юрій Корбин,  Авґсбурґ
Architect is Oleksa Povstenko. Church is in Augsburg, Germany.",Unknown Publication,
1869,9,Shroud of Christ,Located at St. Andrew's Ukrainian-Greek Orthodox Church in Windsor.,Unknown Publication,
1881,9,"St. Josephats Ukrainian Catholic Church, Edmonton","Established in 1904, at 97st and 107 Avenue in Edmonton, Alberta. Later replaced by a larger cathedral building in 1941.",Unknown Publication,
1883,9,Gloucester Cathedral,,Unknown Publication,
2112,9, St. John's Institute - Edmonton,"Ribbon Cutting Ceremony in 1958. New Student Residence located near the University of Alberta on Whyte Avenue, Edmonton, Alberta.
L-R  Rev?, Mayor Hawryluk, Dr. Steven Yaremchuk, Bishop Andrew, ?, ? Jean Yaremchuk, ?",Unknown Publication,
2146,9,King George V,Official Photograph circulated by Buckingham Palace to all commonwealth publications.,"History book of the Ukrainian National Home in WInnipeg 1946-71, edited by D. Doroshenko.",6
2171,9,"Пн. Безкоровайний
Mr. Bezkorovaini",,Unknown Publication,
2216,9,60th Anniversary of Prosvita,Commemorating the 60th anniversary of the Prosvita Society 1868-1928.,Unknown Publication,
2223,9,CYMK - Alberta Convention ,"Ukrainian Canadian Youth Association, Alberta Convention in 1960.",Unknown Publication,
2240,9,UWAC Exhibit in Winnipeg,"Cultural exhibit during the UWAC 25th Anniversary Convention in Winnipeg, Manitoba, 1952.",Ukrainian Embroidery Designs and Stitches  (1957),21
2254,9,Embroidery Pattern  ,Fig. 196,Ukrainian Embroidery Designs and Stitches  (1957),158
2256,9,Embroidery Pattern  ,Fig. 165,Ukrainian Embroidery Designs and Stitches  (1957),107
2265,9,Stitch Tutorial,Illustrated by Wadym Dobrolige.,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
 ",52
2269,9,Easter Table Spread,Food and drink presented on an embroidered tablecloth.,Ukrainian Embroidery Designs and Stitches  (1957),104
2277,9,Woman Modelling a Dress,Fig. 205,Ukrainian Embroidery Designs and Stitches  (1957),125
2292,9,Easter Food,Featuring a Paska [Easter Bread] and Pysanka [Easter Egg].,Unknown Publication,
2293,9,Cabbage Rolls,,Unknown Publication,
2314,9,Assembling Braided Bread,,Unknown Publication,
2334,9,Youth Group  ,Assembled in a pyramid holding flags.,Unknown Publication,
2400,9,Priest & Children,Unidentified,Unknown Publication,
2440,9,Group photo,Unidentified,Unknown Publication,
2496,9,Group photo,Unidentified,Unknown Publication,
2590,9,Daughters of Ukraine [UWAC] 1962,"Управа відділу СУК Доньки України на 1962 ий рік. 
Branch of the Ukrainian Women's Association of Canada
1962",Promin June 1969,
2624,9,UWAC Presentation,"Mary Lazaruk, -, Emma Verchomin
Edmonton",Unknown Publication,
2628,9,Group Photo,Unidentified,Unknown Publication,
2674,9,Two People With Food,Unidentified,Unknown Publication,
2685,9,Banquet,Unidentified,Unknown Publication,
2701,9,Group photo,Unidentified,Unknown Publication,
2708,9,Group Photo,Unidentified,Unknown Publication,
2801,9,"Group Photo
",Unidentified,Unknown Publication,
2816,9,Group Photo,Unidentified,Unknown Publication,
2830,9,Group Photo,Unidentified,Unknown Publication,
2832,9,Group Photo,Unidentified,Unknown Publication,
2839,9,Group Photo,Unidentified,Unknown Publication,
2867,9,Group Photo,Unidentified,Unknown Publication,
2907,9,UWAC Group Photo,"L to R: -, -, Natalka Baziuk, Mrs. Janis, Fiona Pelech, -, -
Edmonton, AB",Unknown Publication,
3047,9,Embroidery Pattern,,Promin April 1971,28
3052,9,Embroidery Pattern,,Promin June 1969,31
3066,9,DMC Colour Chart,"""3. Green-905"" and ""4. Yellow-742"".",Promin August-September 1966,31
3094,9,Donna Ewasiuk,Modelling Lesia Ukrainka's Outfit,Promin February 1964,cover
3132,9,Embroidery Pattern,Cross-stitch.,Promin July 1961,31
3138,9,Embroidery Pattern,Yavoriv Stitch,Promin February 1961,33
3154,9,Embroidery Pattern,Cross-stitch,Promin December 1972,23
3182,9,Embroidery Pattern,,Promin September 1968,31
3229,9,Tulip Embroidery Pattern,,Promin November 1975,32
3232,9,Embroidery Pattern,,Promin August-September 1976,9
3235,9,Embroidery Pattern,,Promin June 1975,32
3237,9,Embroidery Pattern,,Promin September 1975,32
3247,9,Embroidery Pattern,,Promin,
3348,9,Mykola Lysenko and His Choir,,Unknown Publication,
3393,9,Demographic Settlement Map,The Canadian Prairies in 1961.,Ukrainians in Canada (1st edition) by Olha Woycenko 1967,inside front and back covers
3428,9,Olya Kobylanska,Promotional photo of the author sitting at her desk.,Promin November 1965,cover
3450,9,Boy Walking While Eating an Apple,,Promin May 1965,19
3462,9,Halya Lazaruk Henderson with her Sons,Illustration for the children's section.,Promin April 1962,7
3467,9,3 Children,Illustration for the children's section.,Promin May 1981,20
3470,9,"""Motherhood""",Painting by Tatiana Yablonska.,Promin July-August 1975,9
3506,9,Museum Exhibit,Textile exhibit by the Ukrainian Women's Association of Canada.,Unknown Publication,
3520,9,Orthodox Church,Illustration by an unknown artist.,Unknown Publication,
3524,9,Single Spire Church Illustration,Illustration by an unknown artist.,Unknown Publication,
3530,9,Schematic drawing of a church,Illustration by an unknown artist.,Unknown Publication,
3568,9,Church,Unknown Location,Unknown Publication,
3588,9,Rev T. Kowalyshyn,Ukrainian Orthodox Church of Canada.,Unknown Publication,
3593,9,Reverend P. Blaziuk,Ukrainian Orthodox Church of Canada.,"25th anniversary of St. Mary's Ukrainian Greek Orthodox Church North Surrey, B.C.",41
3621,9,Nativity Scene,Illustration by an unknown artist.,Unknown Publication,
3637,9,Blessing the Congregation,Unknown Event,Unknown Publication,
3661,9,Church Service,Unknown Event,Unknown Publication,
3682,9,Group Photo,Unidentified,Unknown Publication,
3698,9,Children's Concert,Unknown Event,Unknown Publication,
3701,9,Childrens Concert,Unknown Event,Unknown Publication,
3714,9,Children by a Fence,Unidentified,Unknown Publication,
3719,9,Portrait of a Man,Unidentified,Unknown Publication,
3767,9,Portrait of a Man,Unidentified,Unknown Publication,
3801,9,Portrait of a Man,Unidentified,Unknown Publication,
3824,9,Portrait of a Man,Unidentified,Unknown Publication,
3825,9,Portrait of a Man,Unidentified,Unknown Publication,
3849,9,"Іван ґ. Стратийчук
John G. Stratychuk",,Unknown Publication,
3874,9,Portrait of a Man,Unidentified,Unknown Publication,
3926,9,"Пн. Волокатюк
Mr. Volokatiuk",,Unknown Publication,
3936,9,Portrait of a Woman,Unidentified,Unknown Publication,
3945,9,Portrait of a Woman,Unidentified,Unknown Publication,
3961,9,Portrait of a Woman,Unidentified,Unknown Publication,
3971,9,Portrait of a Woman,Unidentified,Unknown Publication,
4014,9,Portrait of a Woman,Unidentified,Unknown Publication,
4020,9,Lesia Ewasiuk,Wearing clothing originally worn by Lesia Ukrainka,Promin December 1963,12
4045,9,Portrait of a Woman,Unidentified,Unknown Publication,
4083,9,Portrait of a Woman,Unidentified,Unknown Publication,
4135,9,Portrait of a Woman,Unidentified,Unknown Publication,
4167,9,Portrait of a Woman,Unidentified,Unknown Publication,
4170,9,Portrait of a Woman,Unidentified,Unknown Publication,
4171,9,Portrait of a Woman,Unidentified,Unknown Publication,
4174,9,Portrait of a Woman,Unidentified,Unknown Publication,
4191,9,Portrait of a Woman,Unidentified,Unknown Publication,
4193,9,Portrait of a Woman,Unidentified,Unknown Publication,
4211,9,Mrs. Malanchuk,,Unknown Publication,
4229,9,Portrait of a Woman,Unidentified,Unknown Publication,
4244,9,Natalka Kohuska,,Unknown Publication,
4256,9,Portrait of a Woman,Unidentified,Unknown Publication,
4259,9,Portrait of a Woman,Unidentified,Unknown Publication,
4267,9,Portrait of a Woman,Unidentified,Unknown Publication,
4295,9,Blazuk Wedding Party,Unidentified,Unknown Publication,
4304,9,Bride & Groom -  Makarenko,Unidentified,Unknown Publication,
4328,9,Anniversary Couple,Unidentified,Unknown Publication,
4360,9,Pioneer Couple,Unidentified,Unknown Publication,
4376,9,"""Гриць мене, моя мати""",Hryts Mene Moia Maty,Unknown Publication,
4379,9,"""Ой, ти дівчино заручиная""
An Engaged Girl","Ukraiinian Folksong
[O, Ty Divchyno Zaruchynaia]",Unknown Publication,
4380,9,"""Пливе човен""
A Boat Is Sailing","Ukrainian Folksong
 [Plyve Choven}",Unknown Publication,
4382,9,"""Заспіваймо пісню веселеньку""
Let's Sing a Happy Song","Ukrainian Folksong
[Zaspivaimo Pisniu Veselenku]",Unknown Publication,
4386,9,"""Ой гиля, гиля""",Ukrainian FolksongOi Hylia Hylia,Unknown Publication,
4417,9,Gauk Family Photo,"Edmonton, AB",Unknown Publication,
4444,9,Man in Uniform,Unidentified,Unknown Publication,
4484,9,UWAC Delegates,Unidentified,Unknown Publication,
4493,9,UWAC Group Photo,Unidentified,Unknown Publication,
4544,9,Drawing of Five Women,Unknown Artist,Unknown Publication,
4549,9,Knahynia Olha,"Princes Olha is a prominent figure in Ukrainian history and serves as a symbol of strength and women empowerment, as well as one of the symbols of Kyiv.
Unknown Artist",Unknown Publication,
4553,9,Medieval Soldier on a Horse,Unknown Artist,Unknown Publication,
4565,9,Foods of Ukraine,,Unknown Publication,
4576,9,UWAC Group Photo,Modeling contemporary embroidered clothing,Unknown Publication,
4587,9,Popularity Contest,"Winners of the popularity contest in Fort William Ontario. Elizabeth Babiak, Olha Viktova, Elena Mykuliak",Unknown Publication,
4627,9,Dnipro Men's Choir,"Edmonton, AB",Unknown Publication,
4636,9,Mixed Choir,Unidentified,Unknown Publication,
4647,9,Signature,Unidentified,Unknown Publication,
4670,9,First Class Postage Stamp,,Unknown Publication,
4679,9,Iron Cross & Tryzub ,A decorative Shield,Unknown Publication,
4683,9,"«Березенець - Українська пісня»
Berezynets - Ukrainian Song",Record Jacket Cover,"«Березенець - Українська пісня фортепіано виконує Валентина Доброліж»
Berezynets - Ukrainian Song - Piano accompaniment by Valentina Dobrolige",
4685,9,Air Cadet Squadron Crest,"573 Air Cadet Squadron, Winnipeg MB",Unknown Publication,
4713,9,Poppy,Unknown Artist,Unknown Publication,
4736,9,Embroidery Pattern,Cross-Stitch Floral motif,Unknown Publication,
4757,9,Advertisement - R. S. Robinson's Sons,,Unknown Publication,
4759,9,Rowboat,Unknown Artist,Unknown Publication,
4775,9,Stamp for УВАН - Learning Fund, 1918-1953 logo with tryzub,Unknown Publication,
4786,9,Signature ,Unidentified,Unknown Publication,
4802,9,Woman in Embroidered Dress,Unidentified,Unknown Publication,
4803,9,Embroidered Satchel,,Unknown Publication,
4822,9,Ceramics,Vases from Western Ukraine,Unknown Publication,
4843,9,"""Shevchenko by Candlelight""",Aquatint etching on paper by Taras Shevchenko in June of 1860.,Unknown Publication,48
4873,9,Young Taras Shevchenko,"Graphic interpretation of Shevchenko's self portrait
1840",Unknown Publication,
4909,9,Plowing,Unidentified,Unknown Publication,
4971,9,Baba Paraska & Baba Palazhka,Illustration by V.S. Kravchenko ,Unknown Publication,122
4998,9,Lesia Ukrainka, ,Unknown Publication,
5028,9,Group Photo  ,Unidentified,Unknown Publication,
5056,9,Woman in a Kitchen,Unidentified,Unknown Publication,
5076,9,Female Dancer Mid-Leap,Unidentified,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",
5078,9,Ukrainian clothing posing,Roma Prima Bohachevska,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",
5087,9,Promin / промінь (Cover Plate),"Graphic for Promin used for all issues in 1960
Illustration by Wadym Dobrolige",Promin - 1960,
5095,9,Hooded Icon,Unknown Artist,Unknown Publication,
5112,9,Cover Plate,Illustration by Mykola Koladka,"«НЕ СЛОВОМ ЄДИНИМ» Роман Рахманний
 ""Not a Single Word"" By Roman Rakhmaniy
1971",
5116,9,Comic of an Editor Refusing a Paper,"Graphic used as header for News from the Editor
Unknown Artist",Unknown Publication,
5133,9,Leo Mol with President D.D. Eisenhower,Artist presenting the bust he sculpted to the President of the United States,Unknown Publication,
5145,9,Ukrainian Dance Students,Unidentified,Unknown Publication,
5204,9,Ivan Franko,Bust created by an Unidentified Artist,Unknown Publication,
5218,9,Prime Minister of Canada Stationary Seal,,Unknown Publication,
5252,9,Commemorative Ribbon,"20th anniversary of the Ukrainian Orthodox Church in the Nipawin/Melfort parish district.
June 28, 1992",Unknown Publication,
5274,9,Grafting Tutorial,,Unknown Publication,
5278,9,Grafting Tutorial,,Unknown Publication,
5349,9,Editorial Cartoon - Herding Sheep,"""3rd Session of the 24th Parliment""",Unknown Publication,
5366,9,Book Cover Design,Unknown Cartoonist,"""В Неділю рано зілля копала""
On Sunday Morning She dug the herbs by Olha Kobylianska",
5380,9,Commemorative Ribbon,"Centennial of Ukrainians in Canada
1991",,
5390,9,Commemorative Ribbon,"Bishop Vasyl's visitation Swan River,  Manitoba.
1993",,
5440,9,Group Photo,Unidentified,Unknown Publication,
5442,9,Group Photo,Unidentified,Unknown Publication,
5458,9,Premier Romanow & Mrs. Tkachuk ,"Visiting the Ukrainian Museum of Canada in Saskatoon, SK",Publication Unknown,
5617,9,Building With Trees,Unknown Location,Unknown Publication,
5618,9,Person Sitting ,Unidentified,Unknown Publication,
5625,9,George & Anne Shewchuk,"Anniversary Photo - Vegreville, AB",Unknown Publication,
5642,9,One Room School & Teacher's House,Unknown Location,Unknown Publication,
5683,9,Portrait of a Woman,Unidentified,Unknown Publication,
5697,9,Orthodox Church on the Prairies,Unidentified,Unknown Publication,
5718,9,Cossacks Riding Across the Steppes,Unknown Artist,Unknown Publication,
5722,9,Church & Buildings on the Shore,Unknown Location,Unknown Publication,
5730,9,Mykhaylo Hrushevsky Institute,"Building known as  M.H. Hall
Edmonton, AB",Unknown Publication,
5745,9,Town Square,Unknown Location,Unknown Publication,
5766,9,Natalia Kohuska  ,President UWAC - Unknown Event,Promin,
5783,9,Daffodils,Unknown Artist,Unknown Publication,
5784,9,Three Women ,Unidentified,Unknown Publication,
5785,9,Lesia Ukraininka,,Unknown Publication,
3b,9,Walter & Natalia Baziuk,Wedding Photograph,Unknown Publication,
2,10,Embroidered Bukovynian Pillow,Pattern drafted and submitted to Promin Magazine  by Ivanna Wachna from Toronto,Promin March 1969,32
4,10,Embroidery Pattern,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",103;108
21,10,Stitch Tutorial,Cross-stitch tutorial illustrated by Wadym Dobrolige,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",61;68
22,10,Stitch Tutorial,Cross-stitch tutorial illustrated by Wadym Dobrolige,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",60;68
42,10,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),121
48,10,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),81
57,10,Embroidery Pattern, Fig. 100 Corner Example,Ukrainian Embroidery Designs and Stitches  (1957),70
64,10,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),79
69,10,Embroidery Pattern,,Мистецькі скарби українських вишивок - С. Сечишин (1950),28
73,10,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),129
109,10,Girls in Dresses,Marianna and Lilia Baziuk modeling dresses embroidered by their mother Natalia.,Ukrainian Embroidery Designs and Stitches  (1957),124
123,10,"""Katharine""","""Katharine"", based on a poem of T. Shevchenko. Music by M. Arkas, Choreographed and danced by Lesia Biloshytsky","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",41
133,10,"""Copella""","""Coppella"" - Pas de deux by Betty Pope and Colin Worth (Toronto, Canada)","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",119
138,10,Sketch of a Woman by Halyna Mazepa,"Caption on back of block ""Dance of Duncan School by Halyna Mazepa""","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",189
146,10,"""Goddess of Gold""","""Godness of Gold"" choreographed and danced by Roma Pryma","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",166
218,10,Medieval Soldiers in a Boat,Illustrated by Mykhailo Fartukh.,History of Ukraine for children of School Age (1966),
219,10,"Дмитро Байда-Вишневецький
Dmytro Baida-Vyshnevetsky",The first Ottoman in the history of Ukraine. He established the Zaporozhian Cossack stronghold on the Island of  Khortytsia. Illustrated by Mykhailo Fartukh.,History of Ukraine for children of School Age (1966),99
229,10,"""Start of Ukraine""",Hand drawn scene illustrated by Mykhailo Fartukh,History of Ukraine for children of School Age (1966),7
243,10,"""The Battle""",Hand drawn battle scene illustrated by Mykhailo Fartukh.,History of Ukraine for children of School Age (1966),
268,10,Embroidery Pattern ,Pattern for a Small Tablecloth,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",106
272,10,Map of Ukraine & Surrounding Countries,,Unknown Publication,
298,10,Adult Speaking to a Child,Artist Unknown,Unknown Publication,
300,10,Girl & Dog Look into the Water,Artist Unknown,Unknown Publication,
304,10,Nativity Scene,Artist Unknown,Unknown Publication,
306,10,Sun Smiling at a Lilypad,Artist Unknown,Unknown Publication,
312,10,Reproduction of the First Issue of the Ukrainian Voice (page 1),,Unknown Publication,
321,10,Four People in a Forest,Unidentified,Unknown Publication,
322,10,Farm Landscape,,Unknown Publication,
329,10,"""Christ the Good Shepherd""",Jesus Holding a Lamb,Unknown Publication,
390,10,Man Walking Behind a Plow,,Unknown Publication,
433,10,Fr. Semen Savchuk,The first administrator of the Ukrainian Orthodox Church of Canada.,Unknown Publication,
452,10,"Mr. Perepeliuk, Mr. Yemelchuk, and Mr. Obakh",,Unknown Publication,
459,10,Michael Wenger,,Unknown Publication,
461,10,Julian Stechishin (1895-1971),Ukrainian Community Leader,Unknown Publication,
477,10,Mrs. Serotiuk & Mrs. Gowda,"Event hosted by UWAC in Edmonton, AB",Unknown Publication,
498,10,Peter Fykyta  ,,Unknown Publication,
565,10,Michael Hospodarchuk,,Unknown Publication,
571,10,"Д. Сулима
]Doreen Sulyma]","Graduation Photo - University of Alberta, Edmonton, AB ",Unknown Publication,
582,10,Ward Officer W. Tokarek,,Unknown Publication,
603,10,"Стефан Стрижевець
[Steven Stryzhevyts]",,Unknown Publication,
607,10,"Панько Михальчук (1884-1967)
[Panko Michaelchuk]  ","A member of St. John's UOC Cathedral, Edmonton, AB.",Unknown Publication,
635,10,"В гайю чирінка питашка 
[A Teal Bird in the Grove ]","Children's Poetry 
A bird on a branch illustrated by O. Liaturnyska","""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",34
650,10,Бай-дідуню вечір [Bai-Didunio-Vechir],"Children's Poetry 
Illustration of a grasshopper by O. Liaturnyska","""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",40
728,10,"Пані] Чорноус
Mrs. Chornous",,Unknown Publication,
730,10,"Пані Кравчук
Mrs. Krawchuk",,Unknown Publication,
787,10,"Михайло Григорчук 
Michael Hryhorczuk",,Unknown Publication,
864,10,M. Zvarych [Svarych],Donated $1000.00 to the Shevchenko Foundation.,Unknown Publication,
920,10,Anna Wachna,Illustrator of Ukrainian embroidery patterns for Promin Magazine published by the Ukrainian Women's Association of Canada.,Unknown Publication,
,,,,,
976,10,Portrait of a Woman,,Unknown Publication,
1040,10,"""Vals Capriose""","Tamara Wozhakiwsky performing ""Vals Capriose""","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",143
1060,10,"Пані Кернець
Mrs. Kernatz",,Unknown Publication,
1118,10,"Віра Николаївна
Vera Nykolaivna [Nichols]",,Unknown Publication,
1144,10,Embroidery Pattern,Pattern for an embroidered Ukrainian church  processional banners (khorovy),"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",89
1148,10,Embroidery Pattern,"Cross pattern"" for priest's robes.","Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",91
1162,10,Illustration of Plants,Artist Unknown,"Daleke Zblyz'ka by Strutyns'ka, Mariia (1975)",
1169,10,Illustration of Plants with a Bug,Artist Unknown,"Daleke Zblyz'ka by Strutyns'ka, Mariia (1975)",
1204,10,"Пані Е. Тіленіюс.В.А.
Graduate Mrs. E. Telenius B.A.",,Unknown Publication,
1205,10,"Пані А. Рурик
Mrs. A. Ruryk",,Unknown Publication,
1212,10,Orthodox Church,,Unknown Publication,
1224,10,Ms.Baran,,"25th anniversary concert program
1968",
1240,10,Mrs. Hnatyshyn,,"25th anniversary concert program
1968",
1282,10,Group Photo,"Ukrainian School St. John's Cathedral, Edmonton, AB",Twenty Five Years of UWAC 1926-1951,201
1348,10,Portrait of a Man,Donor to the Taras Shevchenko Foundation,Unknown Publication,
1368,10,"Семен і Марія Німець
Simon & Mary Nimetz","Семен і Марія Німець Ванкувер БК фундатори $1100.00
Founding Donors of the Taras Shevchenko Foundation from Vancouver, BC",Unknown Publication,
1403,10,SS Colvile,Steamboat on Lake Winnipeg built for the Hudson's Bay Company in 1875.,Unknown Publication,
1600,10,Sadochok Certificate for Ellen Romanchuk,St. John's Cathedral Sadochok/Playschool ,,
1609,10,Class of School Children,"Canora, Sk 1951",Unknown Publication,
1710,10,Ukrainian Dancers at Vancouver Folk Festival,,Unknown Publication,
1730,10,ODUM Bandura Ensemble in the name of Hnat Khotkevych,ОДУМівський ансамбуль бандуристів Гната Хоткевича,Unknown Publication,
1739,10,"UWAC Group Photo - Theodore, SK","О. Кобилянської, Тіодор, Саск 1951
Members of the O. Kobylianska branch of UWAC in Theodore, Saskatchewan.",Twenty Five Years of UWAC 1926-1951,
1742,10,"UWAC Group Photo - Montreal, PQ",,Twenty Five Years of UWAC 1926-1951,
1794,10,First Congress of the Ukrainian Canadian Congress,"Winnipeg, MB 1943",Unknown Publication,
1798,10,10th Congress of the UKrainian Canadian Congress,,Unknown Publication,
1843,10,Architectural Illustration of a Church ,"Prof. Architect.  K. [Kost] Moschenko, Germany born 1876
Text on back of Block: Проф. Архітект К. Мощенко  [Ко́сть Васи́льович Мо́щенко b. 1876]  Гьохщтеут (Німечини) ",Unknown Publication,
1854,10,Ukrainian Orthodox Church - Regina,,Unknown Publication,
2101,10,Holodomor Memorial Service in Saskatoon,c. 1975,Unknown Publication,
2162,10,Archbishop Michail Cutting a Ribbon,"Hamilton, ON ",ВІСНИК [The Herald],
2173,10,Dr. W. D. R. Taciuk ,"Text on back: Др. Тасюк
Donated $100",Unknown Publication,
2191,10,"UWAC Group Photo - Cudworth, SK","Ukrainian Women's Association of Canada, in the name of Knahynia Olia - 1951",Twenty Five Years of UWAC 1926-1951,500
2224,10,Blessing of School and Auditorium, blessing of the school and auditorium at St. John's Ukrainian Orthodox Cathedral in Edmonton. 1965.,Unknown Publication,
2243,10,Embroidery Pattern ,Fig. 167,Ukrainian Embroidery Designs and Stitches  (1957),109
2245,10,Embroidery Pattern  ,Fig. 141,Ukrainian Embroidery Designs and Stitches  (1957),
2258,10,Embroidered Clutch Purses,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",122; 178
2261,10,Embroidery Pattern,Fig. 213,Ukrainian Embroidery Designs and Stitches  (1957),127
2266,10,Embroidered Rushnyk ,Displayed on a Lecturn,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",87;106
2315,10,Arranging Braided Bread,Demonstration of how to arrange braided bread in a pan.,Unknown Publication,
2340,10,UWAC Group Photo ," Vonda, SK",Unknown Publication,
2346,10,Birds Eye View of a Town,Unidentified,Unknown Publication,
2390,10,Group Photo,Unidentified,Unknown Publication,
2438,10,Priest & Crowd,Unidentified,,
2556,10,Group Photo,Unidentified,Unknown Publication,
2559,10,Жнива/Harvest,Workers in a field at harvest time.,Unknown Publication,
2561,10,Group Photo,Unidentified,Unknown Publication,
2564,10,Group Photo,,Unknown Publication,
2583,10,Group Photo,,Unknown Publication,
2584,10,Embroidery Presentation,,Unknown Publication,
2589,10,Group Photo,Unidentified,Unknown Publication,
2605,10,UWAC Event,Unidentified,Unknown Publication,
2618,10,Group Photo,Unidentified,Unknown Publication,
2680,10,Group Photo,Unidentified,Unknown Publication,
2691,10,Group Photo,Unidentified,Unknown Publication,
2729,10,Group Photo,Unidentified,Unknown Publication,
2746,10,Садочок / Sadochok Group Photo,"St. John's Cathedral Sadochok/Playschool, Edmonton, AB c. 1951",Unknown Publication,
2799,10,Group Photo,Unidentified,Unknown Publication,
2808,10,Cutting a Cake,Unidentified,Unknown Publication,
2818,10,Group Photo,Unidentified,Unknown Publication,
2823,10,Group Photo,Unidentified,Unknown Publication,
2888,10,Band Photo,Unidentified,Unknown Publication,
2902,10,Group Photo,Unidentified,Unknown Publication,
2905,10,Portrait of a Couple,Unidentified,Unknown Publication,
2915,10,Group Photo,Unidentified,Unknown Publication,
2919,10,Mr. & Mrs. Ternovetsky,,Unknown Publication,
2922,10,Religious Ceremony,Unidentified,Unknown Publication,
